"월","대여소ID","월평균회전율","월최대회전율"
8,1680,48.53,137.5
8,1681,95.46,134.29
8,1682,92.96,116.92
8,1683,97.34,123.53
8,1684,133.23,170
8,1685,100.28,130.77
8,1686,131.37,190
8,1688,117.49,166.67
8,1689,106.45,137.5
8,1690,121.94,160
8,1691,93.36,117.5
8,1692,105.31,150
8,1693,79.86,135.29
9,1601,139.11,195.71
9,1602,97.62,140.91
9,1603,127.53,194.59
9,1605,98.94,137.04
9,1606,107.71,153.12
9,1608,109.67,127.59
9,1610,106.03,139.77
9,1611,90.74,117.01
9,1616,101.64,118.26
9,1617,73.96,102.74
9,1619,91.94,117.91
9,1620,82.54,112.28
9,1623,87.34,108.91
9,1625,93.93,120.37
9,1628,73.9,120
9,1630,100.24,146.34
9,1634,76.98,103.51
9,1635,45.55,91.3
9,1636,100.34,116.35
9,1637,96.79,119
9,1639,93.86,126.09
9,1640,102.74,154.84
9,1641,65.96,107.69
9,1642,97.69,126.67
9,1643,151.02,207.89
9,1646,45.41,96.3
9,1650,94.41,118.39
9,1651,64.58,88.46
9,1652,59.3,88.89
9,1653,98.46,115.15
9,1654,62.03,97.22
9,1655,96.15,120.9
9,1656,96.13,121.74
9,1657,65,93.88
9,1659,77.9,106.52
9,1660,75.2,104
9,1661,87.07,129.17
9,1662,112.75,159.52
9,1663,120.44,167.47
9,1664,60.31,84.62
9,1665,76.7,129.73
9,1666,89.78,123.53
9,1667,83.14,116.67
9,1668,106.7,127.93
9,1669,96.58,123.08
9,1670,80.63,103.7
9,1671,95.37,147.5
9,1672,63.14,104.65
9,1673,96.48,113.56
9,1674,116.07,152.94
9,1675,60.73,117.65
9,1677,84.54,127.78
9,1678,50.27,78.57
9,1679,48.14,87.5
9,1680,36.93,100
9,1681,82.86,113.16
9,1682,70.91,90.91
9,1683,80.94,113.33
9,1684,113.58,140.54
9,1685,79.74,150
9,1686,112.8,150.85
9,1688,108.95,155.1
9,1689,92.07,120.93
9,1690,99.39,159.26
9,1691,83.2,103.33
9,1692,92.26,133.96
9,1693,57.36,100
10,1601,144.62,185.14
10,1602,97.41,116.67
10,1603,139.8,210.34
10,1605,95.8,120.75
10,1606,107.48,133.33
10,1608,107,123.2
10,1610,113.72,134.88
10,1611,95.64,110.91
10,1616,107.81,125.23
10,1617,79.39,97.85
10,1619,99.36,124.19
10,1620,89.15,103.33
10,1623,90.3,109.62
10,1625,98.65,113.11
10,1627,11.31,14.29
10,1628,85.81,129.03
10,1630,104.75,134.29
10,1634,80.62,100
10,1635,41.27,68.42
10,1636,106.59,122.62
10,1637,101.08,130.7
10,1639,94.26,139.39
10,1640,113.31,209.09
10,1641,67.8,96.97
10,1642,104.01,141.38
10,1643,163.53,211.54
10,1646,50.83,105.88
10,1650,98.72,123.46
10,1651,73.02,100
10,1652,64.91,94.12
10,1653,101.16,120.35
10,1654,65.6,100
10,1655,102.09,120.62
10,1656,100.11,126.47
10,1657,62.13,82.14
10,1659,85.27,106.25
10,1660,76.17,116.67
10,1661,87.94,109.62
10,1662,126.1,178.05
10,1663,130.06,168.24
10,1664,56.06,100
10,1665,85.84,109.09
10,1666,88.97,110.64
10,1667,85.91,109.8
10,1668,113.63,132.32
10,1669,99.55,124.44
10,1670,86.23,106.45
10,1671,103.76,134.55
10,1672,71.18,97.56
10,1673,92.77,110.2
10,1674,113.66,140
10,1675,60.45,117.65
10,1677,95.68,137.5
10,1678,57.77,102.04
10,1679,46.56,86.21
10,1680,23.95,69.23
10,1681,82.83,130.3
10,1682,68.67,102.5
10,1683,89.09,126.67
10,1684,120.9,164.52
10,1685,82.13,108
10,1686,114.75,140.82
10,1688,117.06,207.14
10,1689,97.27,121.88
10,1690,105.1,151.61
10,1691,90.51,103.23
10,1692,95.5,113.95
10,1693,52.13,100
11,1601,125.67,162.82
11,1602,83.85,119.15
11,1603,126.31,200
11,1605,82.95,113.21
11,1606,89.71,133.33
11,1608,98.78,127.4
11,1610,95.58,125.42
11,1611,82.64,105.62
11,1616,96.02,122.35
11,1617,68.24,103.23
11,1619,87.01,109.86
11,1620,78.48,97.37
11,1623,78.2,107.32
11,1625,84.88,107.27
11,1627,11.3,16.67
11,1628,68.14,100
11,1630,87.94,129.17
11,1634,70.93,93.88
11,1635,40.78,64.71
11,1636,95.55,117.98
11,1637,93.39,115.73
11,1639,75.68,113.79
11,1640,88.01,142.86
11,1641,52.85,92.31
11,1642,86.96,138.89
11,1643,138.32,192.31
11,1646,38.27,82.61
11,1650,81.35,101.33
11,1651,55.82,84.62
11,1652,49.74,109.52
11,1653,95.32,109.18
11,1654,53.75,87.18
11,1655,89.01,115.79
11,1656,91.83,118.97
11,1657,53.42,85.11
11,1659,71.85,100
11,1660,64.73,106.67
11,1661,84.48,130
11,1662,113.31,182.35
11,1663,112.27,149.38
11,1664,44.43,100
11,1665,70.12,96.67
11,1666,84.25,124.39
11,1667,76.08,107.69
11,1668,100.63,128.57
11,1669,90.79,109.38
11,1670,79.64,103.77
11,1671,86.25,136.96
11,1672,62.16,96.88
11,1673,88.39,115.15
11,1674,92.12,136.67
11,1675,48.74,125
11,1677,78.6,107.41
11,1678,50.51,94.74
11,1679,31.64,67.74
11,1680,21.89,54.55
11,1681,75.15,108.33
11,1682,64.01,94.74
11,1683,85.47,125.53
11,1684,99.16,135.82
11,1685,77.35,112.5
11,1686,107.11,135
11,1688,97.02,136.36
11,1689,82.25,112.82
11,1690,95.7,156.25
11,1691,80.98,107.41
11,1692,90.16,125
11,1693,42.52,89.29
12,1601,93.52,162.5
12,1602,62.45,96.88
12,1603,92.5,126.67
12,1605,58.01,88
12,1606,70.79,109.52
12,1608,84.49,122.22
12,1610,66.08,97.06
12,1611,68.05,93.75
12,1616,80.75,97.62
12,1617,55.15,77.27
12,1619,79.99,126.83
12,1620,73.49,92.31
12,1623,64,85.45
12,1625,79.08,98.61
12,1628,51.72,80
12,1630,69.38,126.67
12,1634,54.29,96
12,1635,35.46,56.25
12,1636,89.19,105.88
12,1637,83.15,112.5
12,1639,53.8,84.21
12,1640,66.56,90.91
12,1641,29.88,68.18
12,1642,69.67,130
12,1643,104.52,176.92
12,1646,17.52,44
12,1650,63.88,86.96
12,1651,38.35,59.38
12,1652,39.16,75
12,1653,84.98,112.82
12,1654,29.06,40.91
12,1655,68.33,109.09
12,1656,81.89,108.33
12,1657,39.61,78.95
12,1659,57.17,78.57
12,1660,59.39,92.86
12,1661,64.45,108
12,1662,91.73,127.27
12,1663,92.27,136.36
12,1664,27.23,63.64
12,1665,60.27,100
12,1666,72.16,112.5
12,1667,68.6,97.14
12,1668,88.94,114.29
12,1669,80.54,116.67
12,1670,62.49,80.56
12,1671,61.88,110
12,1672,45.26,68.18
12,1673,80.63,92.21
12,1674,74.3,111.54
12,1675,35.85,81.25
12,1677,49.77,84.62
12,1678,33.02,83.33
12,1679,21.1,57.14
12,1680,14.34,27.27
12,1681,60.97,100
12,1682,49.56,92
12,1683,75.36,100
12,1684,82.62,120.59
12,1685,63.62,93.75
12,1686,93.35,130.77
12,1688,76.34,110
12,1689,65.18,104.35
12,1690,70.91,109.52
12,1691,69.68,96
12,1692,75.73,121.05
12,1693,27.88,56.52
