"월","대여소번호","월평균회전율","월최대회전율"
11,1680,36.06,75
11,1681,61.76,93.33
11,1682,61.45,89.29
11,1683,67.78,92
11,1684,67.24,100
11,1685,66.71,116.67
11,1686,74.43,117.65
11,1688,60.88,112.5
11,1689,47.37,92.86
11,1690,63.88,123.08
11,1691,61.44,82.76
12,1601,66.49,112.9
12,1602,40.08,73.68
12,1603,52.06,107.69
12,1605,47.97,84.21
12,1606,63.9,110
12,1608,65.53,115
12,1610,47.71,71.43
12,1611,56.75,92.86
12,1616,68.33,97.62
12,1617,26.48,52.63
12,1619,66.45,103.23
12,1620,59.1,91.67
12,1623,46.69,71.7
12,1625,60.71,107.5
12,1627,29.83,63.64
12,1628,27.51,82.35
12,1630,31.84,70
12,1634,37.08,82.61
12,1635,32.03,63.64
12,1636,85.74,120.59
12,1637,74.29,128
12,1639,25.54,72.73
12,1640,43.76,81.25
12,1641,24.35,50
12,1642,75.04,136.36
12,1643,66.79,169.23
12,1646,12.7,38.46
12,1650,42.67,68.97
12,1651,21.21,46.43
12,1652,21.22,36.36
12,1653,74.16,117.39
12,1654,25.54,46.15
12,1655,49.66,92.86
12,1656,71.74,111.11
12,1657,31.62,72.22
12,1659,41.93,93.75
12,1660,47.34,91.67
12,1661,55.09,100
12,1662,58,120
12,1663,69.32,108.57
12,1664,30.34,70
12,1665,56.91,113.33
12,1666,65.19,90.91
12,1667,54.38,92.59
12,1668,74.08,100
12,1669,60.72,96.15
12,1670,49.09,88.46
12,1671,32.41,63.64
12,1672,31.09,50
12,1673,84.64,126.92
12,1674,47.26,83.33
12,1675,26.43,47.37
12,1677,38.52,69.23
12,1678,20.33,47.62
12,1679,11.92,25
12,1680,27.15,80
12,1681,48.79,75
12,1682,45.19,79.17
12,1683,56.19,86.36
12,1684,50.67,81.48
12,1685,54.56,138.46
12,1686,61.56,100
12,1688,50.33,94.74
12,1689,38.5,93.33
12,1690,33,80
12,1691,57.89,96
