"자전거번호","대여날짜","고장구분"
"SPB-04548","2019-11-02","기타 "
"SPB-04550","2019-11-14","기타 "
"SPB-04561","2019-04-21","기타 "
"SPB-04563","2019-09-03","체인"
"SPB-04589","2019-07-22","페달"
"SPB-04589","2019-07-22","체인"
"SPB-04598","2019-09-18","단말기"
"SPB-04604","2019-08-14","단말기"
"SPB-04611","2019-10-09","타이어 "
"SPB-04614","2019-11-10","체인"
"SPB-04620","2019-06-24","페달"
"SPB-04620","2019-06-30","체인"
"SPB-04628","2019-04-04","기타 "
"SPB-04641","2019-04-15","체인"
"SPB-04644","2019-09-18","체인"
"SPB-04644","2019-09-18","타이어 "
"SPB-04668","2019-11-01","페달"
"SPB-04668","2019-11-06","타이어 "
"SPB-04669","2019-07-15","타이어 "
"SPB-04673","2019-09-11","타이어 "
"SPB-04678","2019-06-28","체인"
"SPB-04678","2019-07-09","타이어 "
"SPB-04685","2019-06-12","단말기"
"SPB-04687","2019-08-27","체인"
"SPB-04699","2019-11-03","안장"
"SPB-04712","2019-12-31","페달"
"SPB-04729","2019-07-09","타이어 "
"SPB-04729","2019-07-09","기타 "
"SPB-04729","2019-07-09","안장"
"SPB-04729","2019-09-28","기타 "
"SPB-04733","2019-02-01","기타 "
"SPB-04745","2019-10-16","기타 "
"SPB-04749","2019-10-23","타이어 "
"SPB-04767","2019-05-15","안장"
"SPB-04791","2019-08-14","체인"
"SPB-04802","2019-10-04","기타 "
"SPB-04818","2019-05-05","페달"
"SPB-04832","2019-09-14","타이어 "
"SPB-04838","2019-11-03","타이어 "
"SPB-04840","2019-07-27","타이어 "
"SPB-04840","2019-08-27","타이어 "
"SPB-04840","2019-08-27","기타 "
"SPB-04843","2019-09-10","안장"
"SPB-04852","2019-05-06","체인"
"SPB-04853","2019-06-21","기타 "
"SPB-04878","2019-06-14","안장"
"SPB-04905","2019-05-08","타이어 "
"SPB-04909","2019-09-11","안장"
"SPB-04909","2019-10-11","체인"
"SPB-04937","2019-10-27","기타 "
"SPB-04949","2019-07-12","안장"
"SPB-04952","2019-06-08","기타 "
"SPB-04953","2019-08-05","안장"
"SPB-04953","2019-08-05","기타 "
"SPB-04982","2019-10-13","단말기"
"SPB-04982","2019-10-13","기타 "
"SPB-04982","2019-10-13","타이어 "
"SPB-04986","2019-06-01","타이어 "
"SPB-05004","2019-03-02","체인"
"SPB-05009","2019-10-29","체인"
"SPB-05009","2019-10-29","페달"
"SPB-05019","2019-06-14","안장"
"SPB-05021","2019-11-04","페달"
"SPB-05021","2019-11-04","체인"
"SPB-05028","2019-09-02","기타 "
"SPB-05028","2019-09-02","단말기"
"SPB-05029","2019-10-06","타이어 "
"SPB-05033","2019-09-21","체인"
"SPB-05050","2019-09-20","단말기"
"SPB-05056","2019-04-07","체인"
"SPB-05061","2019-06-26","타이어 "
"SPB-05065","2019-06-29","기타 "
"SPB-05065","2019-10-10","기타 "
"SPB-05067","2019-08-19","체인"
"SPB-05067","2019-09-21","안장"
"SPB-05080","2019-04-13","안장"
"SPB-05085","2019-06-30","페달"
"SPB-05089","2019-11-11","안장"
"SPB-05094","2019-07-13","단말기"
"SPB-05098","2019-11-12","안장"
"SPB-05099","2019-07-27","페달"
